Wed Apr  9 21:50:42 2025    profile_output

         477557 function calls (430108 primitive calls) in 2.903 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    2.433    0.122 1195146626.py:114(process_single_image)
       20    0.001    0.000    2.340    0.117 1195146626.py:60(run_inference)
  4473/21    0.016    0.000    2.103    0.100 module.py:1735(_wrapped_call_impl)
  4473/21    0.039    0.000    2.103    0.100 module.py:1743(_call_impl)
       21    0.000    0.000    2.102    0.100 yolo.py:266(forward)
       21    0.008    0.000    2.052    0.098 yolo.py:161(_forward_once)
     1197    0.007    0.000    1.696    0.001 common.py:89(forward_fuse)
     1260    0.004    0.000    1.542    0.001 conv.py:553(forward)
     1260    0.003    0.000    1.536    0.001 conv.py:536(_conv_forward)
     1260    1.532    0.001    1.532    0.001 {built-in method torch.conv2d}
      168    0.004    0.000    1.166    0.007 common.py:245(forward)
      168    0.002    0.000    0.523    0.003 container.py:248(forward)
      231    0.018    0.000    0.518    0.002 common.py:177(forward)
       40    0.000    0.000    0.249    0.006 profiler.py:848(_transit_action)
       21    0.000    0.000    0.247    0.012 {method 'run' of '_contextvars.Context' objects}
       13    0.001    0.000    0.245    0.019 ioloop.py:742(_run_callback)
       20    0.000    0.000    0.243    0.012 profiler.py:792(__exit__)
       20    0.000    0.000    0.242    0.012 profiler.py:806(stop)
       20    0.000    0.000    0.242    0.012 profiler.py:235(stop_trace)
       20    0.000    0.000    0.242    0.012 profiler.py:363(__exit__)
       20    0.241    0.012    0.241    0.012 {built-in method torch._C._autograd._disable_profiler}
       21    0.019    0.001    0.207    0.010 yolo.py:92(forward)
     1197    0.003    0.000    0.177    0.000 activation.py:431(forward)
     1197    0.003    0.000    0.175    0.000 functional.py:2358(silu)
     1197    0.171    0.000    0.171    0.000 {built-in method torch._C._nn.silu_}
       15    0.001    0.000    0.138    0.009 zmqstream.py:607(_handle_events)
        9    0.000    0.000    0.136    0.015 zmqstream.py:718(<lambda>)
       57    0.005    0.000    0.105    0.002 torch_utils.py:263(fuse_conv_and_bn)
      376    0.102    0.000    0.102    0.000 {built-in method torch.cat}
       21    0.001    0.000    0.101    0.005 common.py:333(forward)
        1    0.000    0.000    0.080    0.080 pyplot.py:1129(savefig)
 13005/22    0.019    0.000    0.065    0.003 copy.py:118(deepcopy)
   481/22    0.004    0.000    0.065    0.003 copy.py:217(_deepcopy_dict)
        2    0.000    0.000    0.064    0.032 backend_agg.py:381(draw)
 3576/340    0.004    0.000    0.064    0.000 copy.py:247(_reconstruct)
        2    0.000    0.000    0.064    0.032 artist.py:93(draw_wrapper)
    170/2    0.000    0.000    0.064    0.032 artist.py:54(draw_wrapper)
        2    0.000    0.000    0.064    0.032 figure.py:3134(draw)
      4/2    0.000    0.000    0.062    0.031 image.py:114(_draw_list_compositing_images)
        2    0.000    0.000    0.062    0.031 _base.py:3005(draw)
        1    0.000    0.000    0.057    0.057 profile.py:157(profile)
        1    0.000    0.000    0.055    0.055 figure.py:3234(savefig)
        1    0.000    0.000    0.055    0.055 backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.055    0.055 backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.055    0.055 backend_agg.py:450(print_png)
        1    0.000    0.000    0.055    0.055 backend_agg.py:440(_print_pil)
       20    0.000    0.000    0.053    0.003 1195146626.py:26(load_image)
       63    0.000    0.000    0.046    0.001 pooling.py:212(forward)
       63    0.000    0.000    0.046    0.001 _jit_internal.py:614(fn)
       63    0.000    0.000    0.046    0.001 functional.py:807(_max_pool2d)
       63    0.046    0.001    0.046    0.001 {built-in method torch.max_pool2d}
       20    0.014    0.001    0.041    0.002 1195146626.py:34(preprocess_image)
       57    0.000    0.000    0.040    0.001 conv.py:502(__init__)
        1    0.000    0.000    0.039    0.039 pyplot.py:2743(bar)
       57    0.001    0.000    0.039    0.001 conv.py:86(__init__)
    73/51    0.001    0.000    0.037    0.001 module.py:1755(inner)
      114    0.036    0.000    0.036    0.000 {built-in method torch.mm}
        4    0.000    0.000    0.034    0.009 axis.py:1379(draw)
        3    0.000    0.000    0.034    0.011 pyplot.py:2538(gca)
        3    0.000    0.000    0.034    0.011 figure.py:1647(gca)
        1    0.000    0.000    0.034    0.034 figure.py:658(add_subplot)
       20    0.000    0.000    0.034    0.002 Image.py:889(convert)
